refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260313-0000180,L20260313-0001519,O20260313-000593,2026-03-13T23:02:37,103.77,damaged,rejected
R20260313-0000181,L20260313-0001522,O20260313-000594,2026-03-12T23:00:51,40.81,wrong_size,rejected
R20260313-0000182,L20260313-0001529,O20260313-000600,2026-03-04T05:39:43,101.06,damaged,rejected
R20260313-0000183,L20260313-0001531,O20260313-000601,2026-03-10T20:28:26,172.99,customer_remorse,approved
R20260313-0000184,L20260313-0001536,O20260313-000602,2026-03-12T04:08:43,300.14,customer_remorse,rejected
R20260313-0000185,L20260313-0001537,O20260313-000602,2026-03-04T09:49:29,95.95,wrong_size,pending
R20260313-0000186,L20260313-0001544,O20260313-000607,2026-03-03T17:13:43,135.88,late_delivery,approved
R20260313-0000187,L20260313-0001561,O20260313-000614,2026-03-07T15:27:30,162.26,damaged,rejected
R20260313-0000188,L20260313-0001573,O20260313-000617,2026-03-07T20:10:29,72.72,customer_remorse,approved
R20260313-0000189,L20260313-0001606,O20260313-000630,2026-03-05T11:47:34,264.11,damaged,pending
R20260313-0000190,L20260313-0001607,O20260313-000630,2026-03-09T03:49:28,12.95,damaged,pending
R20260313-0000191,L20260313-0001611,O20260313-000632,2026-03-04T11:55:25,49.74,wrong_size,approved
R20260313-0000192,L20260313-0001618,O20260313-000634,2026-03-13T00:45:38,211.76,late_delivery,pending
R20260313-0000193,L20260313-0001627,O20260313-000637,2026-03-13T04:37:12,87.52,damaged,approved
R20260313-0000194,L20260313-0001631,O20260313-000639,2026-03-07T20:02:31,33.71,wrong_size,approved
R20260313-0000195,L20260313-0001646,O20260313-000645,2026-03-03T06:01:08,7.15,wrong_size,approved
R20260313-0000196,L20260313-0001657,O20260313-000650,2026-03-06T22:05:51,458.00,wrong_size,pending
R20260313-0000197,L20260313-0001700,O20260313-000663,2026-03-06T15:23:33,92.47,customer_remorse,approved
R20260313-0000198,L20260313-0001717,O20260313-000671,2026-03-09T10:51:03,2.18,wrong_size,rejected
R20260313-0000199,L20260313-0001718,O20260313-000672,2026-03-09T12:29:10,18.65,damaged,approved
R20260313-0000200,L20260313-0001736,O20260313-000681,2026-03-13T02:26:08,39.28,wrong_size,rejected
R20260313-0000201,L20260313-0001739,O20260313-000682,2026-03-03T00:19:21,18.29,damaged,rejected
R20260313-0000202,L20260313-0001774,O20260313-000695,2026-03-10T16:12:35,90.37,wrong_size,pending
R20260313-0000203,L20260313-0001785,O20260313-000699,2026-03-09T11:53:22,265.85,wrong_size,rejected
R20260313-0000204,L20260313-0001788,O20260313-000700,2026-03-11T15:11:34,111.96,damaged,pending
R20260313-0000205,L20260313-0001792,O20260313-000701,2026-03-12T21:20:53,160.49,customer_remorse,pending
R20260313-0000206,L20260313-0001801,O20260313-000704,2026-03-12T16:50:41,27.29,customer_remorse,pending
R20260313-0000207,L20260313-0001809,O20260313-000706,2026-03-04T19:21:04,86.19,customer_remorse,rejected
R20260313-0000208,L20260313-0001811,O20260313-000707,2026-03-08T23:39:52,170.72,other,rejected
R20260313-0000209,L20260313-0001832,O20260313-000715,2026-03-10T12:19:23,77.15,damaged,rejected
R20260313-0000210,L20260313-0001843,O20260313-000718,2026-03-09T18:01:47,100.11,wrong_size,rejected
R20260313-0000211,L20260313-0001853,O20260313-000722,2026-03-03T05:42:37,8.77,customer_remorse,pending
R20260313-0000212,L20260313-0001872,O20260313-000728,2026-03-05T15:14:52,3.17,other,approved
R20260313-0000213,L20260313-0001877,O20260313-000729,2026-03-10T21:29:27,61.47,customer_remorse,approved
R20260313-0000214,L20260313-0001888,O20260313-000732,2026-03-13T08:17:20,113.56,damaged,approved
R20260313-0000215,L20260313-0001897,O20260313-000735,2026-03-09T20:22:56,22.86,damaged,approved
R20260313-0000216,L20260313-0001912,O20260313-000742,2026-03-11T07:50:27,152.82,other,rejected
R20260313-0000217,L20260313-0001913,O20260313-000742,2026-03-10T17:42:08,7.35,customer_remorse,approved
R20260313-0000218,L20260313-0001914,O20260313-000743,2026-03-08T03:15:15,164.48,wrong_size,pending
R20260313-0000219,L20260313-0001915,O20260313-000743,2026-03-11T04:00:06,81.80,late_delivery,rejected
R20260313-0000220,L20260313-0001923,O20260313-000746,2026-03-07T16:07:46,64.24,customer_remorse,approved
R20260313-0000221,L20260313-0001925,O20260313-000746,2026-03-03T21:43:05,298.78,customer_remorse,approved
R20260313-0000222,L20260313-0001934,O20260313-000751,2026-03-12T08:44:45,47.67,damaged,approved
R20260313-0000223,L20260313-0001949,O20260313-000757,2026-03-04T02:39:16,21.60,wrong_size,pending
R20260313-0000224,L20260313-0001977,O20260313-000768,2026-03-10T14:06:12,91.82,other,rejected
R20260313-0000225,L20260313-0001988,O20260313-000773,2026-03-07T12:11:31,86.65,customer_remorse,approved
R20260313-0000226,L20260313-0001990,O20260313-000774,2026-03-12T02:51:29,173.93,customer_remorse,approved
R20260313-0000227,L20260313-0002003,O20260313-000778,2026-03-08T12:34:36,26.51,customer_remorse,rejected
R20260313-0000228,L20260313-0002006,O20260313-000780,2026-03-05T07:00:01,111.00,wrong_size,rejected
R20260313-0000229,L20260313-0002013,O20260313-000782,2026-03-11T23:09:49,36.17,other,approved
R20260313-0000230,L20260313-0002020,O20260313-000786,2026-03-07T23:59:43,61.53,late_delivery,rejected
R20260313-0000231,L20260313-0002021,O20260313-000786,2026-03-11T04:32:10,143.61,wrong_size,pending
R20260313-0000232,L20260313-0002024,O20260313-000787,2026-03-04T12:41:03,20.97,customer_remorse,pending
R20260313-0000233,L20260313-0002046,O20260313-000795,2026-03-03T03:57:00,106.97,customer_remorse,approved
