refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260316-0000343,L20260316-0003157,O20260316-001226,2026-03-10T19:03:14,57.03,customer_remorse,pending
R20260316-0000344,L20260316-0003158,O20260316-001226,2026-03-12T03:07:29,20.33,other,rejected
R20260316-0000345,L20260316-0003173,O20260316-001233,2026-03-07T16:14:01,1.77,other,rejected
R20260316-0000346,L20260316-0003194,O20260316-001242,2026-03-16T18:45:28,64.87,damaged,pending
R20260316-0000347,L20260316-0003207,O20260316-001248,2026-03-09T23:33:04,52.12,wrong_size,approved
R20260316-0000348,L20260316-0003232,O20260316-001261,2026-03-06T19:04:23,32.75,damaged,rejected
R20260316-0000349,L20260316-0003237,O20260316-001264,2026-03-09T19:03:19,50.80,customer_remorse,rejected
R20260316-0000350,L20260316-0003240,O20260316-001264,2026-03-08T02:21:06,36.89,other,approved
R20260316-0000351,L20260316-0003245,O20260316-001266,2026-03-06T02:39:43,61.71,late_delivery,pending
R20260316-0000352,L20260316-0003248,O20260316-001267,2026-03-10T21:03:40,64.11,customer_remorse,rejected
R20260316-0000353,L20260316-0003249,O20260316-001267,2026-03-12T09:55:05,137.47,customer_remorse,rejected
R20260316-0000354,L20260316-0003252,O20260316-001269,2026-03-09T21:09:53,222.99,other,pending
R20260316-0000355,L20260316-0003254,O20260316-001270,2026-03-09T01:35:01,164.40,wrong_size,rejected
R20260316-0000356,L20260316-0003268,O20260316-001274,2026-03-13T02:23:04,110.86,other,pending
R20260316-0000357,L20260316-0003269,O20260316-001275,2026-03-08T19:27:11,95.99,late_delivery,rejected
R20260316-0000358,L20260316-0003282,O20260316-001281,2026-03-15T00:08:55,105.07,customer_remorse,approved
R20260316-0000359,L20260316-0003336,O20260316-001299,2026-03-11T23:30:50,28.92,other,pending
R20260316-0000360,L20260316-0003343,O20260316-001303,2026-03-11T10:46:33,144.64,damaged,pending
R20260316-0000361,L20260316-0003347,O20260316-001304,2026-03-08T05:33:24,132.59,late_delivery,pending
R20260316-0000362,L20260316-0003354,O20260316-001306,2026-03-14T20:40:23,39.21,other,pending
R20260316-0000363,L20260316-0003365,O20260316-001311,2026-03-09T11:54:01,133.74,damaged,approved
R20260316-0000364,L20260316-0003370,O20260316-001313,2026-03-12T03:53:57,301.06,wrong_size,pending
R20260316-0000365,L20260316-0003383,O20260316-001318,2026-03-11T07:32:11,2.57,other,rejected
R20260316-0000366,L20260316-0003407,O20260316-001329,2026-03-06T06:50:17,132.35,customer_remorse,pending
R20260316-0000367,L20260316-0003425,O20260316-001335,2026-03-06T16:12:33,86.41,late_delivery,rejected
R20260316-0000368,L20260316-0003431,O20260316-001338,2026-03-09T16:23:44,324.19,customer_remorse,approved
R20260316-0000369,L20260316-0003452,O20260316-001345,2026-03-08T16:48:48,775.74,other,pending
R20260316-0000370,L20260316-0003455,O20260316-001346,2026-03-09T03:18:38,60.45,late_delivery,approved
R20260316-0000371,L20260316-0003457,O20260316-001347,2026-03-10T16:01:32,228.33,wrong_size,rejected
R20260316-0000372,L20260316-0003477,O20260316-001353,2026-03-16T09:14:32,430.27,wrong_size,rejected
R20260316-0000373,L20260316-0003490,O20260316-001358,2026-03-09T08:29:10,51.01,other,approved
R20260316-0000374,L20260316-0003499,O20260316-001303,2026-03-06T06:06:08,6.29,damaged,pending
R20260316-0000375,L20260316-0003509,O20260316-001233,2026-03-11T19:51:10,8.66,damaged,pending
R20260316-0000376,L20260316-0003305,O20260316-001288,2026-03-15T01:01:57,75.92,damaged,pending
R20260316-0000345,L20260316-0003173,O20260316-001233,2026-03-07T16:14:01,1.77,other,rejected
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,,unknown_state
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
