refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260315-0000295,L20260315-0002672,O20260315-001039,2026-03-08T16:10:41,52.92,damaged,rejected
R20260315-0000296,L20260315-0002684,O20260315-001045,2026-03-08T07:05:55,345.91,late_delivery,approved
R20260315-0000297,L20260315-0002693,O20260315-001049,2026-03-05T05:17:10,23.02,damaged,rejected
R20260315-0000298,L20260315-0002702,O20260315-001052,2026-03-15T11:35:56,43.60,damaged,approved
R20260315-0000299,L20260315-0002733,O20260315-001066,2026-03-10T21:37:37,177.95,other,rejected
R20260315-0000300,L20260315-0002742,O20260315-001070,2026-03-10T21:22:04,316.22,wrong_size,approved
R20260315-0000301,L20260315-0002754,O20260315-001073,2026-03-08T06:17:48,268.36,wrong_size,pending
R20260315-0000302,L20260315-0002756,O20260315-001074,2026-03-08T13:44:10,6.25,damaged,approved
R20260315-0000303,L20260315-0002759,O20260315-001076,2026-03-09T02:20:09,10.53,customer_remorse,pending
R20260315-0000304,L20260315-0002770,O20260315-001081,2026-03-14T05:37:46,39.30,customer_remorse,approved
R20260315-0000305,L20260315-0002773,O20260315-001081,2026-03-06T21:16:15,83.68,customer_remorse,pending
R20260315-0000306,L20260315-0002785,O20260315-001086,2026-03-15T10:32:34,2.01,other,rejected
R20260315-0000307,L20260315-0002790,O20260315-001091,2026-03-15T06:13:18,27.29,damaged,pending
R20260315-0000308,L20260315-0002805,O20260315-001097,2026-03-14T07:04:06,40.32,customer_remorse,rejected
R20260315-0000309,L20260315-0002808,O20260315-001099,2026-03-05T02:10:58,5.71,wrong_size,pending
R20260315-0000310,L20260315-0002820,O20260315-001103,2026-03-11T19:32:52,55.30,other,pending
R20260315-0000311,L20260315-0002824,O20260315-001105,2026-03-15T18:09:00,3.80,late_delivery,approved
R20260315-0000312,L20260315-0002825,O20260315-001105,2026-03-09T11:26:43,130.63,wrong_size,pending
R20260315-0000313,L20260315-0002833,O20260315-001108,2026-03-06T19:22:54,4.26,damaged,pending
R20260315-0000314,L20260315-0002850,O20260315-001116,2026-03-11T23:35:58,184.31,customer_remorse,pending
R20260315-0000315,L20260315-0002869,O20260315-001123,2026-03-11T20:52:59,23.67,wrong_size,approved
R20260315-0000316,L20260315-0002904,O20260315-001135,2026-03-13T16:01:05,15.73,customer_remorse,pending
R20260315-0000317,L20260315-0002905,O20260315-001135,2026-03-09T04:36:18,248.36,wrong_size,approved
R20260315-0000318,L20260315-0002918,O20260315-001141,2026-03-13T07:47:44,183.68,damaged,rejected
R20260315-0000319,L20260315-0002924,O20260315-001144,2026-03-05T15:47:16,76.76,customer_remorse,pending
R20260315-0000320,L20260315-0002927,O20260315-001146,2026-03-14T21:55:03,432.55,wrong_size,approved
R20260315-0000321,L20260315-0002963,O20260315-001159,2026-03-11T16:19:27,215.35,damaged,approved
R20260315-0000322,L20260315-0002974,O20260315-001162,2026-03-05T09:29:21,209.98,other,rejected
R20260315-0000323,L20260315-0002980,O20260315-001164,2026-03-12T21:37:11,105.77,other,pending
R20260315-0000324,L20260315-0002983,O20260315-001165,2026-03-10T09:26:05,134.40,customer_remorse,rejected
R20260315-0000325,L20260315-0002992,O20260315-001170,2026-03-06T16:50:27,90.04,late_delivery,rejected
R20260315-0000326,L20260315-0003011,O20260315-001175,2026-03-12T15:31:36,71.16,customer_remorse,approved
R20260315-0000327,L20260315-0003023,O20260315-001181,2026-03-05T20:09:51,17.06,late_delivery,approved
R20260315-0000328,L20260315-0003024,O20260315-001182,2026-03-14T00:50:01,183.53,damaged,rejected
R20260315-0000329,L20260315-0003029,O20260315-001184,2026-03-14T10:31:20,5.91,other,pending
R20260315-0000330,L20260315-0003036,O20260315-001186,2026-03-05T00:42:32,119.23,damaged,approved
R20260315-0000331,L20260315-0003056,O20260315-001193,2026-03-14T14:07:37,312.90,customer_remorse,approved
R20260315-0000332,L20260315-0003058,O20260315-001194,2026-03-11T06:48:15,119.60,wrong_size,approved
R20260315-0000333,L20260315-0003072,O20260315-001199,2026-03-15T09:45:41,20.45,other,pending
R20260315-0000334,L20260315-0003107,O20260315-001213,2026-03-12T12:59:54,15.71,other,pending
R20260315-0000335,L20260315-0003118,O20260315-001217,2026-03-08T05:33:44,4.96,late_delivery,rejected
R20260315-0000336,L20260315-0003126,O20260315-001219,2026-03-14T08:39:44,147.96,other,approved
R20260315-0000337,L20260315-0003140,O20260315-001225,2026-03-10T12:56:25,75.52,late_delivery,approved
R20260315-0000338,L20260315-0003141,O20260315-001082,2026-03-09T04:45:59,15.36,damaged,approved
R20260315-0000339,L20260315-0003143,O20260315-001053,2026-03-08T16:29:55,144.39,damaged,pending
R20260315-0000340,L20260315-0003146,O20260315-001100,2026-03-10T06:55:59,135.89,customer_remorse,rejected
R20260315-0000341,L20260315-0003133,O20260315-001222,2026-03-13T22:37:58,14.78,other,pending
R20260315-0000342,L20260315-0002783,O20260315-001086,2026-03-07T05:52:30,31.01,damaged,approved
R20260315-0000300,L20260315-0002742,O20260315-001070,2026-03-10T21:22:04,316.22,wrong_size,approved
R20260315-0000342,L20260315-0002783,O20260315-001086,2026-03-07T05:52:30,31.01,damaged,approved
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,,unknown_state
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
