order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date
O20260311-000134,C034433,2026-03-07T19:22:59,SE,SEK,paypal,7.99,15.00,delivered,2026-03-11
O20260311-000135,C011791,2026-03-07T07:45:18,NL,EUR,paypal,0.00,0.00,placed,2026-03-11
O20260311-000136,C007729,2026-03-06T06:51:39,NL,EUR,gift_card,7.99,0.00,shipped,2026-03-11
O20260311-000137,C036728,2026-03-06T06:00:40,SE,SEK,paypal,4.99,5.00,placed,2026-03-11
O20260311-000138,C019680,2026-03-07T17:20:49,SE,SEK,card,0.00,5.00,shipped,2026-03-11
O20260311-000139,C037285,2026-03-07T00:53:11,NL,EUR,paypal,4.99,5.00,delivered,2026-03-11
O20260311-000140,C002331,2026-03-06T04:30:09,NL,EUR,gift_card,4.99,10.00,delivered,2026-03-11
O20260311-000141,C003672,2026-03-07T09:36:46,GB,GBP,klarna,0.00,0.00,cancelled,2026-03-11
O20260311-000142,C021740,2026-03-09T02:09:17,GB,GBP,card,4.99,10.00,cancelled,2026-03-11
O20260311-000143,C037420,2026-03-07T12:11:38,DE,EUR,card,4.99,5.00,placed,2026-03-11
O20260311-000144,C027124,2026-03-11T15:56:15,SE,SEK,klarna,7.99,5.00,paid,2026-03-11
O20260311-000145,C019813,2026-03-10T03:23:50,FR,EUR,card,2.99,0.00,delivered,2026-03-11
O20260311-000146,C001635,2026-03-08T16:09:12,FR,EUR,klarna,7.99,15.00,shipped,2026-03-11
O20260311-000147,C009391,2026-03-11T16:43:08,SE,SEK,paypal,0.00,10.00,delivered,2026-03-11
O20260311-000148,C034233,2026-03-11T00:19:59,GB,GBP,card,0.00,5.00,delivered,2026-03-11
O20260311-000149,C006757,2026-03-07T21:47:19,US,USD,card,4.99,0.00,shipped,2026-03-11
O20260311-000150,C012619,2026-03-09T08:34:20,DE,EUR,gift_card,0.00,5.00,paid,2026-03-11
O20260311-000151,C017934,2026-03-11T00:39:35,DE,EUR,card,2.99,15.00,shipped,2026-03-11
O20260311-000152,C020873,2026-03-09T04:45:51,FR,EUR,klarna,2.99,0.00,placed,2026-03-11
O20260311-000153,C022200,2026-03-07T14:03:08,SE,SEK,card,7.99,0.00,placed,2026-03-11
O20260311-000154,C003526,2026-03-11T13:25:11,NL,EUR,gift_card,4.99,5.00,shipped,2026-03-11
O20260311-000155,C034963,2026-03-11T14:36:08,DE,EUR,card,7.99,0.00,delivered,2026-03-11
O20260311-000156,C030501,2026-03-08T07:14:09,SE,SEK,klarna,4.99,10.00,paid,2026-03-11
O20260311-000157,C021649,2026-03-09T14:31:01,GB,GBP,card,7.99,0.00,shipped,2026-03-11
O20260311-000158,C030228,2026-03-10T09:49:22,NL,EUR,paypal,0.00,10.00,placed,2026-03-11
O20260311-000159,C036448,2026-03-06T02:50:19,SE,SEK,gift_card,7.99,15.00,delivered,2026-03-11
O20260311-000160,C015971,2026-03-07T05:30:24,DE,EUR,card,4.99,0.00,cancelled,2026-03-11
O20260311-000161,C028532,2026-03-07T10:34:44,NL,EUR,paypal,2.99,0.00,cancelled,2026-03-11
O20260311-000162,C007493,2026-03-07T19:29:20,NL,EUR,card,7.99,0.00,shipped,2026-03-11
O20260311-000163,C004562,2026-03-07T03:43:52,NL,EUR,gift_card,4.99,10.00,placed,2026-03-11
O20260311-000164,C014262,2026-03-10T18:57:48,US,USD,card,2.99,0.00,delivered,2026-03-11
O20260311-000165,C019104,2026-03-08T19:36:28,FR,EUR,paypal,2.99,5.00,shipped,2026-03-11
O20260311-000166,C019959,2026-03-08T22:58:22,FR,EUR,card,0.00,15.00,cancelled,2026-03-11
O20260311-000167,C008360,2026-03-09T01:23:57,NL,EUR,card,0.00,15.00,shipped,2026-03-11
O20260311-000168,C018495,2026-03-11T07:27:44,US,USD,gift_card,4.99,10.00,delivered,2026-03-11
O20260311-000169,C028521,2026-03-07T06:42:11,NL,EUR,gift_card,2.99,0.00,cancelled,2026-03-11
O20260311-000170,C023612,2026-03-08T04:18:55,NL,EUR,paypal,2.99,0.00,placed,2026-03-11
O20260311-000171,C001030,2026-03-10T23:56:31,GB,GBP,gift_card,2.99,0.00,paid,2026-03-11
O20260311-000172,C027254,2026-03-08T22:38:59,GB,GBP,gift_card,2.99,10.00,cancelled,2026-03-11
O20260311-000173,C036180,2026-03-08T12:22:14,NL,EUR,paypal,7.99,15.00,placed,2026-03-11
O20260311-000174,C032648,2026-03-06T07:45:32,FR,EUR,klarna,7.99,15.00,cancelled,2026-03-11
O20260311-000175,C002193,2026-03-11T18:30:45,SE,SEK,klarna,0.00,15.00,delivered,2026-03-11
O20260311-000176,C005248,2026-03-10T23:46:33,GB,GBP,klarna,7.99,15.00,placed,2026-03-11
O20260311-000177,C039982,2026-03-11T07:30:40,FR,EUR,card,4.99,15.00,placed,2026-03-11
O20260311-000178,C035064,2026-03-11T15:29:32,SE,SEK,gift_card,4.99,10.00,shipped,2026-03-11
