order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date
O20260310-000001,C027589,2026-03-06T03:47:04,DE,EUR,gift_card,7.99,5.00,cancelled,2026-03-10
O20260310-000002,C007147,2026-03-07T16:14:39,FR,EUR,card,4.99,10.00,placed,2026-03-10
O20260310-000003,C031391,2026-03-07T13:43:06,US,USD,gift_card,7.99,0.00,placed,2026-03-10
O20260310-000004,C039866,2026-03-09T02:08:17,SE,SEK,klarna,7.99,15.00,cancelled,2026-03-10
O20260310-000005,C029735,2026-03-06T19:27:06,SE,SEK,card,2.99,10.00,delivered,2026-03-10
O20260310-000006,C027120,2026-03-08T14:25:26,DE,EUR,card,4.99,10.00,shipped,2026-03-10
O20260310-000007,C016705,2026-03-08T04:43:59,GB,GBP,gift_card,0.00,0.00,placed,2026-03-10
O20260310-000008,C028304,2026-03-10T23:47:23,US,USD,paypal,0.00,15.00,cancelled,2026-03-10
O20260310-000009,C021604,2026-03-05T03:26:22,FR,EUR,gift_card,0.00,5.00,cancelled,2026-03-10
O20260310-000010,C023046,2026-03-10T18:32:13,SE,SEK,paypal,7.99,0.00,placed,2026-03-10
O20260310-000011,C036456,2026-03-08T03:48:17,SE,SEK,paypal,7.99,15.00,cancelled,2026-03-10
O20260310-000012,C036487,2026-03-10T19:59:42,FR,EUR,klarna,0.00,0.00,shipped,2026-03-10
O20260310-000013,C020250,2026-03-08T11:00:11,GB,GBP,paypal,7.99,0.00,paid,2026-03-10
O20260310-000014,C002010,2026-03-10T23:33:13,GB,GBP,gift_card,7.99,10.00,shipped,2026-03-10
O20260310-000015,C024252,2026-03-08T23:20:49,DE,EUR,card,0.00,0.00,paid,2026-03-10
O20260310-000016,C003262,2026-03-05T02:17:28,FR,EUR,gift_card,7.99,15.00,delivered,2026-03-10
O20260310-000017,C017903,2026-03-09T16:07:22,NL,EUR,gift_card,0.00,5.00,cancelled,2026-03-10
O20260310-000018,C034534,2026-03-05T09:02:14,NL,EUR,gift_card,0.00,0.00,paid,2026-03-10
O20260310-000019,C013844,2026-03-09T08:18:20,SE,SEK,card,0.00,10.00,delivered,2026-03-10
O20260310-000020,C008467,2026-03-07T17:45:14,DE,EUR,klarna,0.00,10.00,placed,2026-03-10
O20260310-000021,C001229,2026-03-07T02:55:20,NL,EUR,gift_card,7.99,10.00,shipped,2026-03-10
O20260310-000022,C026545,2026-03-10T10:10:51,US,USD,gift_card,4.99,0.00,delivered,2026-03-10
O20260310-000023,C015946,2026-03-07T18:25:33,US,USD,card,7.99,5.00,shipped,2026-03-10
O20260310-000024,C021828,2026-03-09T02:32:40,DE,EUR,card,2.99,5.00,shipped,2026-03-10
O20260310-000025,C009680,2026-03-09T03:09:16,GB,GBP,paypal,2.99,15.00,paid,2026-03-10
O20260310-000026,C004939,2026-03-09T20:31:29,GB,GBP,gift_card,4.99,5.00,paid,2026-03-10
O20260310-000027,C004476,2026-03-07T14:40:19,NL,EUR,klarna,0.00,5.00,cancelled,2026-03-10
O20260310-000028,C020343,2026-03-07T14:02:03,US,USD,klarna,4.99,0.00,placed,2026-03-10
O20260310-000029,C038934,2026-03-06T12:29:37,FR,EUR,card,7.99,15.00,paid,2026-03-10
O20260310-000030,C039650,2026-03-07T16:09:03,SE,SEK,gift_card,0.00,5.00,placed,2026-03-10
O20260310-000031,C011309,2026-03-10T07:45:28,FR,EUR,gift_card,2.99,5.00,shipped,2026-03-10
O20260310-000032,C025390,2026-03-07T10:43:38,SE,SEK,card,4.99,0.00,shipped,2026-03-10
O20260310-000033,C036567,2026-03-05T12:18:16,US,USD,paypal,4.99,0.00,cancelled,2026-03-10
O20260310-000034,C009269,2026-03-08T09:41:44,GB,GBP,gift_card,2.99,15.00,placed,2026-03-10
O20260310-000035,C036630,2026-03-07T20:50:21,SE,SEK,paypal,0.00,10.00,cancelled,2026-03-10
O20260310-000036,C001195,2026-03-08T09:11:13,SE,SEK,klarna,7.99,0.00,paid,2026-03-10
O20260310-000037,C010155,2026-03-10T09:54:50,DE,EUR,card,0.00,5.00,cancelled,2026-03-10
O20260310-000038,C039142,2026-03-07T04:10:11,DE,EUR,paypal,7.99,0.00,delivered,2026-03-10
O20260310-000039,C015567,2026-03-07T19:18:48,SE,SEK,gift_card,2.99,15.00,paid,2026-03-10
O20260310-000040,C030738,2026-03-09T11:43:36,SE,SEK,gift_card,7.99,5.00,delivered,2026-03-10
O20260310-000041,C034568,2026-03-07T05:52:12,FR,EUR,paypal,4.99,0.00,delivered,2026-03-10
O20260310-000042,C036343,2026-03-10T22:54:33,SE,SEK,card,4.99,0.00,paid,2026-03-10
O20260310-000043,C029447,2026-03-06T04:53:27,SE,SEK,card,2.99,10.00,shipped,2026-03-10
O20260310-000044,C027191,2026-03-10T12:32:23,US,USD,paypal,7.99,0.00,shipped,2026-03-10
O20260310-000045,C001848,2026-03-08T03:53:45,DE,EUR,klarna,2.99,0.00,placed,2026-03-10
O20260310-000046,C030963,2026-03-05T04:48:45,SE,SEK,gift_card,7.99,15.00,placed,2026-03-10
O20260310-000047,C001246,2026-03-08T06:53:09,US,USD,gift_card,0.00,5.00,paid,2026-03-10
O20260310-000048,C007986,2026-03-10T07:26:40,SE,SEK,gift_card,0.00,0.00,delivered,2026-03-10
O20260310-000049,C035131,2026-03-10T20:32:36,FR,EUR,paypal,2.99,5.00,delivered,2026-03-10
