refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_status
R20260310-0000001,L20260310-0000008,O20260310-000003,2026-03-07T17:27:54,45.51,approved
R20260310-0000002,L20260310-0000025,O20260310-000011,2026-03-03T20:06:28,450.46,pending
R20260310-0000003,L20260310-0000030,O20260310-000014,2026-02-28T19:12:36,56.89,rejected
R20260310-0000004,L20260310-0000049,O20260310-000021,2026-03-07T10:20:41,45.65,rejected
R20260310-0000005,L20260310-0000060,O20260310-000024,2026-02-28T08:47:44,415.32,approved
R20260310-0000006,L20260310-0000063,O20260310-000024,2026-03-02T01:01:49,6.68,rejected
R20260310-0000007,L20260310-0000065,O20260310-000025,2026-03-08T02:41:59,8.07,pending
R20260310-0000008,L20260310-0000072,O20260310-000027,2026-03-05T15:29:55,33.99,pending
R20260310-0000009,L20260310-0000087,O20260310-000035,2026-03-04T08:09:19,7.56,approved
R20260310-0000010,L20260310-0000110,O20260310-000048,2026-03-02T19:51:44,75.54,pending
R20260310-0000011,L20260310-0000115,O20260310-000050,2026-03-09T20:29:39,20.23,pending
R20260310-0000012,L20260310-0000121,O20260310-000052,2026-03-06T08:08:45,167.24,rejected
R20260310-0000013,L20260310-0000122,O20260310-000052,2026-03-10T15:13:21,19.51,pending
R20260310-0000014,L20260310-0000127,O20260310-000055,2026-03-08T01:17:49,19.42,approved
R20260310-0000015,L20260310-0000133,O20260310-000057,2026-03-07T12:49:28,267.64,rejected
R20260310-0000016,L20260310-0000137,O20260310-000058,2026-03-07T15:24:43,460.04,pending
R20260310-0000017,L20260310-0000146,O20260310-000062,2026-03-09T07:40:27,239.61,approved
R20260310-0000018,L20260310-0000151,O20260310-000064,2026-03-03T22:38:09,5.29,approved
R20260310-0000019,L20260310-0000158,O20260310-000066,2026-03-08T22:34:50,11.24,approved
R20260310-0000020,L20260310-0000166,O20260310-000068,2026-03-08T08:57:02,20.07,rejected
R20260310-0000021,L20260310-0000178,O20260310-000071,2026-03-06T08:34:23,8.55,approved
R20260310-0000022,L20260310-0000187,O20260310-000074,2026-03-04T06:33:43,247.56,rejected
R20260310-0000023,L20260310-0000192,O20260310-000076,2026-03-10T04:11:55,124.63,approved
R20260310-0000024,L20260310-0000195,O20260310-000077,2026-03-04T21:31:33,156.73,rejected
R20260310-0000025,L20260310-0000197,O20260310-000078,2026-03-09T00:59:58,157.85,rejected
R20260310-0000026,L20260310-0000200,O20260310-000079,2026-03-10T11:35:47,39.20,pending
R20260310-0000027,L20260310-0000202,O20260310-000080,2026-03-02T01:46:04,257.50,approved
R20260310-0000028,L20260310-0000205,O20260310-000082,2026-03-02T12:12:12,180.34,rejected
R20260310-0000029,L20260310-0000250,O20260310-000100,2026-03-06T17:32:35,468.93,rejected
R20260310-0000030,L20260310-0000252,O20260310-000101,2026-03-08T08:23:56,180.87,approved
R20260310-0000031,L20260310-0000255,O20260310-000102,2026-03-07T23:04:46,148.53,pending
R20260310-0000032,L20260310-0000265,O20260310-000105,2026-03-05T11:56:52,9.73,pending
R20260310-0000033,L20260310-0000274,O20260310-000109,2026-03-05T17:36:09,54.19,rejected
R20260310-0000034,L20260310-0000282,O20260310-000112,2026-03-04T04:08:21,135.85,pending
R20260310-0000035,L20260310-0000284,O20260310-000113,2026-03-09T12:32:27,126.01,approved
R20260310-0000036,L20260310-0000315,O20260310-000123,2026-03-07T19:59:09,428.14,approved
R20260310-0000037,L20260310-0000334,O20260310-000132,2026-03-01T08:03:29,26.94,approved
R20260310-0000038,L20260310-0000340,O20260310-000125,2026-02-28T12:14:24,30.09,rejected
R20260310-0000039,L20260310-0000341,O20260310-000128,2026-03-01T17:05:11,11.58,rejected
R20260310-0000040,L20260310-0000345,O20260310-000133,2026-03-06T10:31:25,160.19,approved
R20260310-0000041,L20260310-0000091,O20260310-000037,2026-03-06T07:09:21,58.38,rejected
R20260310-0000028,L20260310-0000205,O20260310-000082,2026-03-02T12:12:12,180.34,rejected
R20260310-0000036,L20260310-0000315,O20260310-000123,2026-03-07T19:59:09,428.14,approved
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,unknown_state
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
