product_id,sku,product_name,product_type,cost_price,category,brand,list_price,is_active,currency,created_at
P00066,SKU-00066,Product 66,home,4.19,accessories,AdventureWorks,10.75,false,GBP,2024-12-24T12:00:00
P00009,SKU-00009,Product 9,noos,11.82,skincare,Contoso,17.27,false,EUR,2024-11-23T12:00:00
P00119,SKU-00119,Product 119,fashion,119.70,shoes,Northwind,289.27,true,EUR,2024-03-23T12:00:00
P00113,SKU-00113,Product 113,beauty,68.72,accessories,Contoso,185.01,true,GBP,2024-07-08T12:00:00
P00027,SKU-00027,Product 27,noos,65.98,shoes,Contoso,108.58,true,USD,2024-08-26T12:00:00
P00028,SKU-00028,Product 28,fashion,103.85,tops,Tailspin,263.53,true,USD,2024-03-14T12:00:00
P00080,SKU-00080,Product 80,beauty,31.91,skincare,Tailspin,72.41,true,USD,2024-08-28T12:00:00
P00061,SKU-00061,Product 61,beauty,87.30,skincare,AdventureWorks,230.08,false,EUR,2024-05-25T12:00:00
P00025,SKU-00025,Product 25,beauty,53.72,shoes,AdventureWorks,138.71,true,GBP,2024-11-21T12:00:00
P00055,SKU-00055,Product 55,home,53.58,shoes,AdventureWorks,102.20,true,GBP,2024-08-26T12:00:00
P00058,SKU-00058,Product 58,noos,51.78,kitchen,AdventureWorks,103.09,true,USD,2024-11-23T12:00:00
P00004,SKU-00004,Product 4,noos,104.77,kitchen,AdventureWorks,182.76,true,USD,2024-06-04T12:00:00
P00062,SKU-00062,Product 62,home,32.30,skincare,AdventureWorks,71.15,true,EUR,2024-02-23T12:00:00
P00089,SKU-00089,Product 89,beauty,104.68,tops,Northwind,221.76,false,EUR,2024-08-11T12:00:00
P00018,SKU-00018,Product 18,home,5.77,accessories,Contoso,7.46,true,USD,2024-12-16T12:00:00
P00016,SKU-00016,Product 16,home,114.62,skincare,Contoso,230.65,true,GBP,2024-05-27T12:00:00
P00108,SKU-00108,Product 108,beauty,67.67,tops,Contoso,188.64,true,EUR,2024-02-21T12:00:00
P00085,SKU-00085,Product 85,beauty,42.04,accessories,Fabrikam,67.36,true,GBP,2024-04-11T12:00:00
P00029,SKU-00029,Product 29,noos,60.08,shoes,Northwind,87.92,true,EUR,2024-05-26T12:00:00
P00091,SKU-00091,Product 91,fashion,70.72,bottoms,Contoso,176.65,true,USD,2024-04-04T12:00:00
P00038,SKU-00038,Product 38,home,100.63,skincare,Tailspin,122.02,true,GBP,2024-02-05T12:00:00
P00002,SKU-00002,Product 2,fashion,89.79,skincare,AdventureWorks,112.31,true,USD,2024-04-17T12:00:00
P00101,SKU-00101,Product 101,home,114.27,skincare,Northwind,276.64,true,EUR,2024-09-21T12:00:00
P00024,SKU-00024,Product 24,beauty,87.77,bottoms,AdventureWorks,218.72,true,USD,2024-02-22T12:00:00
P00040,SKU-00040,Product 40,home,43.45,skincare,AdventureWorks,69.60,true,USD,2024-11-14T12:00:00
P00017,SKU-00017,Product 17,noos,77.94,bottoms,Fabrikam,188.62,true,GBP,2024-06-16T12:00:00
P00084,SKU-00084,Product 84,noos,50.61,accessories,Tailspin,90.61,true,EUR,2024-12-18T12:00:00
P00022,SKU-00022,Product 22,noos,30.31,tops,Northwind,70.70,true,USD,2024-02-02T12:00:00
P00083,SKU-00083,Product 83,beauty,31.50,kitchen,AdventureWorks,60.39,true,USD,2024-05-08T12:00:00
P00093,SKU-00093,Product 93,home,111.99,skincare,AdventureWorks,184.63,true,GBP,2024-12-04T12:00:00
P00035,SKU-00035,Product 35,noos,86.94,accessories,AdventureWorks,122.53,true,EUR,2024-06-25T12:00:00
P00013,SKU-00013,Product 13,fashion,62.86,tops,Northwind,90.80,true,GBP,2024-07-20T12:00:00
P00079,SKU-00079,Product 79,beauty,59.83,kitchen,Tailspin,97.49,true,USD,2024-05-15T12:00:00
P00068,SKU-00068,Product 68,beauty,81.42,kitchen,Contoso,207.20,true,GBP,2024-09-01T12:00:00
P00030,SKU-00030,Product 30,home,94.97,shoes,Tailspin,214.54,false,USD,2024-04-10T12:00:00
P00008,SKU-00008,Product 8,home,77.56,bottoms,Fabrikam,137.16,true,GBP,2024-11-21T12:00:00
P00053,SKU-00053,Product 53,beauty,39.53,accessories,AdventureWorks,91.53,true,USD,2024-07-22T12:00:00
P00032,SKU-00032,Product 32,noos,59.05,tops,Tailspin,78.43,true,USD,2024-10-03T12:00:00
P00097,SKU-00097,Product 97,noos,80.53,shoes,Northwind,166.80,true,EUR,2024-03-03T12:00:00
P00031,SKU-00031,Product 31,fashion,28.86,skincare,Tailspin,37.45,true,USD,2024-01-19T12:00:00
P00056,SKU-00056,Product 56,noos,108.49,kitchen,Northwind,179.45,true,USD,2024-04-22T12:00:00
P00041,SKU-00041,Product 41,fashion,100.12,tops,Fabrikam,243.67,true,USD,2024-12-15T12:00:00
P00096,SKU-00096,Product 96,home,37.06,kitchen,AdventureWorks,48.69,true,EUR,2024-11-19T12:00:00
P00099,SKU-00099,Product 99,beauty,38.93,accessories,Tailspin,80.35,false,USD,2024-10-02T12:00:00
P00107,SKU-00107,Product 107,beauty,111.57,kitchen,AdventureWorks,155.56,true,GBP,2024-03-10T12:00:00
P00070,SKU-00070,Product 70,noos,47.67,shoes,Fabrikam,82.95,false,EUR,2024-07-09T12:00:00
P00076,SKU-00076,Product 76,fashion,38.63,skincare,Northwind,67.82,false,GBP,2024-06-03T12:00:00
P00078,SKU-00078,Product 78,beauty,107.37,kitchen,Contoso,203.66,true,GBP,2024-09-25T12:00:00
P00100,SKU-00100,Product 100,home,107.12,skincare,Fabrikam,132.98,true,GBP,2024-10-19T12:00:00
P00090,SKU-00090,Product 90,fashion,24.98,accessories,AdventureWorks,34.54,true,EUR,2024-08-03T12:00:00
P00098,SKU-00098,Product 98,home,10.45,skincare,Tailspin,27.94,false,USD,2024-08-23T12:00:00
P00072,SKU-00072,Product 72,fashion,94.51,tops,Contoso,143.56,true,GBP,2024-03-08T12:00:00
P00071,SKU-00071,Product 71,beauty,100.77,tops,Tailspin,129.32,true,USD,2024-11-03T12:00:00
P00020,SKU-00020,Product 20,noos,74.17,skincare,Contoso,173.61,false,GBP,2024-11-12T12:00:00
P00109,SKU-00109,Product 109,beauty,100.44,kitchen,Fabrikam,202.31,true,EUR,2024-08-16T12:00:00
P00021,SKU-00021,Product 21,beauty,54.54,tops,Contoso,85.06,true,USD,2024-10-18T12:00:00
P00036,SKU-00036,Product 36,fashion,112.51,shoes,Tailspin,314.75,true,USD,2024-09-07T12:00:00
P00105,SKU-00105,Product 105,beauty,116.53,skincare,Northwind,262.46,false,EUR,2024-01-07T12:00:00
P00052,SKU-00052,Product 52,home,114.04,skincare,Fabrikam,257.89,true,GBP,2024-05-17T12:00:00
P00054,SKU-00054,Product 54,noos,113.05,skincare,Tailspin,190.10,true,EUR,2024-05-07T12:00:00
P00049,SKU-00049,Product 49,home,50.06,tops,Northwind,130.32,true,USD,2024-10-09T12:00:00
P00082,SKU-00082,Product 82,fashion,106.03,skincare,Contoso,141.76,false,EUR,2024-09-25T12:00:00
P00001,SKU-00001,Product 1,fashion,77.99,kitchen,Fabrikam,124.15,true,GBP,2024-02-22T12:00:00
P00045,SKU-00045,Product 45,noos,111.35,bottoms,Contoso,290.65,true,USD,2024-12-11T12:00:00
P00039,SKU-00039,Product 39,fashion,34.31,kitchen,Tailspin,49.71,true,GBP,2024-04-23T12:00:00
P00067,SKU-00067,Product 67,noos,67.12,shoes,Contoso,109.86,false,USD,2024-07-11T12:00:00
P00102,SKU-00102,Product 102,home,55.02,bottoms,Tailspin,104.40,false,USD,2024-08-12T12:00:00
