product_id,sku,product_name,product_type,cost_price,category,brand,list_price,is_active,currency,created_at
P00051,SKU-00051,Product 51,beauty,33.18,tops,Tailspin,88.95,true,EUR,2024-07-03T12:00:00
P00099,SKU-00099,Product 99,beauty,35.95,accessories,Tailspin,80.35,false,USD,2024-10-02T12:00:00
P00030,SKU-00030,Product 30,home,94.97,shoes,Tailspin,214.54,false,USD,2024-04-10T12:00:00
P00058,SKU-00058,Product 58,noos,51.78,kitchen,AdventureWorks,103.09,true,USD,2024-11-23T12:00:00
P00048,SKU-00048,Product 48,home,26.00,accessories,Northwind,71.42,true,EUR,2024-11-17T12:00:00
P00062,SKU-00062,Product 62,home,32.30,skincare,AdventureWorks,71.15,true,EUR,2024-02-23T12:00:00
P00073,SKU-00073,Product 73,fashion,18.20,skincare,Contoso,35.38,true,EUR,2024-03-20T12:00:00
P00014,SKU-00014,Product 14,beauty,10.90,skincare,AdventureWorks,22.31,true,GBP,2024-12-04T12:00:00
P00083,SKU-00083,Product 83,beauty,31.50,kitchen,AdventureWorks,60.39,true,USD,2024-05-08T12:00:00
P00040,SKU-00040,Product 40,home,43.45,skincare,AdventureWorks,69.60,true,USD,2024-11-14T12:00:00
P00043,SKU-00043,Product 43,noos,46.51,shoes,Contoso,58.92,true,USD,2024-06-07T12:00:00
P00019,SKU-00019,Product 19,noos,98.57,bottoms,AdventureWorks,267.61,true,EUR,2024-09-28T12:00:00
P00104,SKU-00104,Product 104,beauty,37.08,skincare,Northwind,71.48,true,EUR,2024-06-04T12:00:00
P00081,SKU-00081,Product 81,beauty,41.36,bottoms,Fabrikam,102.43,true,EUR,2024-10-23T12:00:00
P00011,SKU-00011,Product 11,home,28.08,bottoms,AdventureWorks,51.47,false,USD,2024-05-05T12:00:00
P00013,SKU-00013,Product 13,fashion,62.86,tops,Northwind,90.80,true,GBP,2024-07-20T12:00:00
P00072,SKU-00072,Product 72,fashion,94.51,tops,Contoso,143.56,true,GBP,2024-03-08T12:00:00
P00022,SKU-00022,Product 22,noos,30.31,tops,Northwind,70.70,true,USD,2024-02-02T12:00:00
P00027,SKU-00027,Product 27,noos,65.98,shoes,Contoso,108.58,true,USD,2024-08-26T12:00:00
P00063,SKU-00063,Product 63,home,36.79,accessories,Fabrikam,96.72,true,USD,2024-03-08T12:00:00
P00076,SKU-00076,Product 76,fashion,38.63,skincare,Northwind,67.82,false,GBP,2024-06-03T12:00:00
P00032,SKU-00032,Product 32,noos,59.05,tops,Tailspin,78.43,true,USD,2024-10-03T12:00:00
P00106,SKU-00106,Product 106,beauty,63.90,kitchen,AdventureWorks,154.38,true,EUR,2024-09-05T12:00:00
P00109,SKU-00109,Product 109,beauty,100.44,kitchen,Fabrikam,202.31,true,EUR,2024-08-16T12:00:00
P00052,SKU-00052,Product 52,home,114.04,skincare,Fabrikam,257.89,true,GBP,2024-05-17T12:00:00
P00079,SKU-00079,Product 79,beauty,59.83,kitchen,Tailspin,97.49,true,USD,2024-05-15T12:00:00
P00061,SKU-00061,Product 61,beauty,87.30,skincare,AdventureWorks,230.08,false,EUR,2024-05-25T12:00:00
P00067,SKU-00067,Product 67,noos,67.12,shoes,Contoso,109.86,false,USD,2024-07-11T12:00:00
P00114,SKU-00114,Product 114,beauty,103.23,tops,Fabrikam,246.88,false,EUR,2024-11-26T12:00:00
P00118,SKU-00118,Product 118,beauty,119.28,skincare,Northwind,250.87,true,GBP,2024-11-10T12:00:00
P00008,SKU-00008,Product 8,home,77.56,bottoms,Fabrikam,137.16,true,GBP,2024-11-21T12:00:00
P00064,SKU-00064,Product 64,noos,48.12,kitchen,Contoso,62.69,false,EUR,2024-09-15T12:00:00
P00033,SKU-00033,Product 33,noos,82.16,shoes,Northwind,222.37,true,GBP,2024-10-02T12:00:00
P00053,SKU-00053,Product 53,beauty,39.53,accessories,AdventureWorks,91.53,true,USD,2024-07-22T12:00:00
P00111,SKU-00111,Product 111,beauty,95.54,accessories,Tailspin,155.49,true,EUR,2024-12-10T12:00:00
P00044,SKU-00044,Product 44,fashion,82.96,accessories,Tailspin,216.91,false,GBP,2024-12-05T12:00:00
P00020,SKU-00020,Product 20,noos,76.19,skincare,Contoso,173.61,false,GBP,2024-11-12T12:00:00
P00005,SKU-00005,Product 5,fashion,14.30,accessories,Fabrikam,30.97,true,GBP,2024-08-18T12:00:00
P00042,SKU-00042,Product 42,beauty,67.77,skincare,Northwind,93.45,true,GBP,2024-01-27T12:00:00
